,text,MIN(start),MAX(start),SUM(duration),video_id
14,"But you can see, even in this last difficult decade, and despite the fact that ethnic minorities within Vietnam are not doing as well as as others, we're seeing very low rates of people living in poverty in Vietnam. China, you can see the head count living below the official poverty line is the red line. The head count below 1.9 US dollars a day is the green line.",516.65,547.2,32.400000000000006,4eUS8trd_yI
15,"Again, you can see massive reductions in poverty by many estimates they vary, but many estimates say that since the reforms in China ushered in in the late 1970s, somewhere between 400 million and half a billion people have moved out of poverty. Now, there's another line on this chart, which I don't believe, which is the Gini coefficient which is a measure of inequality",555.0,587.25,32.866,4eUS8trd_yI
16,"and I believe that the inequality in China has gone up a good deal more. If you look at here, this is comparing the top and bottom quintile. But again, this is data provided by the Chinese government, you can see that in terms of per capita income, they're showing an increase inequality from three times to about eight times and land and consumption, less of a change. So I would just say two things about these statistics,",591.13,625.1,36.373,4eUS8trd_yI
17,"these are based on Chinese government statistics. My guess is that the inequality in Chinese is a lot higher, and particularly this is comparing quintiles that's the top 20%. But just as in the US, and just as in many other capitalist countries that we'll talk about later in the course, if you look at the top 5%, the top 1%, or the top .1%, you're gonna see massive increases in inequality",631.658,658.199,29.466,4eUS8trd_yI
18,"and that puts on the table a dilemma that's gonna be worth thinking about as we progress through the course and talk about some other countries. Which is that while inequality within countries just about anywhere in the world has gone up over the last four decades, worldwide, global inequality has actually come down, and the number of people living in poverty has come down dramatically as we've seen.",662.37,689.08,28.89,4eUS8trd_yI
19,"But if you read say the Millennium Goals or you go to the World Economic Forum meetings, which I have done from time to time, you'll see politician after politician and policy wonk after policy wonk standing there saying, ""We need policies to reduce poverty and inequality."" It's like almost one word, poverty and inequality is one word, but what we're seeing here",692.85,716.8,26.7,4eUS8trd_yI
20,"is something that' gonna come back to us in multiple ways during the course. It's not obvious that all good things go together. And it may well be the case that the price of reducing inequality, the price of reducing poverty is tolerating significant increases in inequality, we'll have to think about those trade offs in various settings. In any event in both China and in Vietnam,",719.55,746.43,29.191,4eUS8trd_yI
21,"you've seen massive decreases in poverty, big increases inequality in not as high by most measures in Vietnam again, now it's hard to know what statistics to believe on these matters but most scholars seem to think there's less inequality in Vietnam than in China. So the first answer why are we talking about China and Vietnam today is that by virtually any measure",749.93,777.44,26.965999999999998,4eUS8trd_yI
22,"they have been economically successful. But then the second and in some ways more interesting reason we're gonna look at them is they challenge a lot of accepted wisdom about capitalism, democracy and the relations between them because here we have two very repressive authoritarian systems, transforming their economies into successful capitalist ones. So that's the puzzle we're gonna be wrestling with",780.46,807.3,28.373000000000005,4eUS8trd_yI
23,"for the rest of today's class in one form or another. So let's think about what was happening in China before Tiananmen. After Mao's death in 1978, things were gonna change very rapidly, just to give you a sense, up until the end of the Cultural Revolution in China, this is a picture comparing Chinese and Japanese per capita GDP.",811.54,845.18,32.383,4eUS8trd_yI
24,"And as you can see, this is a period of explosive economic growth in Japan after World War Two, of course, from a very low base because the whole economy had been destroyed. When people talk about the Japanese miracle, it's a little bit misleading. If we took this back to 1925, this line would have come down because of the collapse produced during the war.",847.02,871.86,24.536,4eUS8trd_yI
25,"It's a recreation to some degree of what it existed before the war, but nothing like the levels that were seen in years afterward. But as you can see, per capita GDP in China was basically flat. There was no economic development to speak of. 1978 Mao is now dead. The third plenum of the Communist Party Central Committee, led vice premier soon to be premier, Deng Xiaoping",876.65,906.99,31.298000000000002,4eUS8trd_yI
26,"calls for officials to start liberating their thinking, to start seeking truth from facts. An ironic statement perhaps in light of our own discussions of fake news and manipulation of the truth that we're coping with today, but to innovate and experiment in the economy, and officials were instructed, this is when they started, China had been very closed and inward looking and they began going in large numbers abroad,",911.75,946.8,34.563,4eUS8trd_yI
27,"they started applying for courses at places like MIT business school, they started trying to learn from other development models and this is gonna be the beginning of experimentation with new forms of capitalism. This is also when the big special economic zones in China were created, these massive islands of experimenting with capitalism, if you like, most of the world's special economic zones",950.93,986.903,34.61,4eUS8trd_yI
28,"and we'll talk a bit more about them in other countries later are sort of industrial parks. They are 40 or 50 firms, they get some preferential tax treatment and the idea is to attract foreign capital. The ones being set up in China were enormous, they were sort of giant cities with schools and shops and people lived in them in their entire lives. So the idea was to experiment with capitalist economics",989.75,1019.58,34.040000000000006,4eUS8trd_yI
29,"in self contained ways. This is also when they start opening up to foreign direct investment. This is when companies like Cummins truck engines come to China, one of the biggest multinationals in China today started in the in the late 1970s, early 1980s. And so this seemed to be a little bit like the Prague Spring. And indeed, in the late 1970s,",1024.16,1051.58,29.51,4eUS8trd_yI
30,"people started talking about the Beijing spring and there was much more criticism of the government tolerated, people started publishing things that you would have been thrown in prison for five years or even three years earlier, and there was something of a thaw, there was something called the Democracy Wall in the Shidong district of Beijing was created, a kind of graffiti wall if you like",1055.83,1084.597,30.16,4eUS8trd_yI
31,"on which people published criticisms of the government, but the vast majority of the political criticism was backward looking. It was criticism of the Cultural Revolution, criticism of Mao, criticism of what had been done in the past, mistakes that had been made in the past. And of course, that wasn't gonna stay that way and so before long,",1088.23,1114.84,26.379,4eUS8trd_yI
32,"the Democracy Wall protesters started shifting their attention from attacking the past to attacking the current leadership in China. Again, a lot of demands now for more democracy. Wei Jinsheng was a protester who came out and made very strong criticisms of the government and this went on until late 1980s, early 1981 and then there was a lot of pushback from the regime. And so much of the 1980s were this era of testing, political testing,",1118.09,1165.93,38.778999999999996,4eUS8trd_yI
33,"by student movements, there were reorganization of student groups on Chinese campuses, there was a lot of criticism of the government interspersed with pushback. So Deng, came out and made very clear that when he was talking about experimentation with reform, he was talking about economic reform, he was not talking about reforming the political system and he reaffirmed what he called party rule",1170.26,1200.54,31.55,4eUS8trd_yI
34,"and the socialist path. He focused on technical questions. His four modernizations had to do with agriculture, the industrial economy, the military, and technology, technological innovation. They started attacking what they called Spiritual Pollution. There was an anti-Spiritual Pollution campaign in 1983, and there was an anti-Bourgeois Liberalization campaign in 1987. And Hu-Yaobang who had been a member",1203.75,1236.01,34.025999999999996,4eUS8trd_yI
35,"of the Central Committee, who had been one of the most energetic reformers was actually fired from the Central Committee of the Communist Party. So it was this period of back and forth, but a lot of growing protests nonetheless, in the 1980s. And it was also a time when the economy wasn't doing that well, particularly for consumers in urban areas, we saw a lot of inflation",1241.38,1270.27,29.072999999999997,4eUS8trd_yI
36,"and that led to austerity programs, cutbacks on spending by the government, which produced further escalation of protests although the economic reforms continued. So if you look at foreign direct investment in China, you can see it's very low there, but it's going to accelerate dramatically over the 1990s. So then, in 1989, in the summer of 1989, if somebody had said,",1272.68,1311.53,36.76,4eUS8trd_yI
37,"""Where is there gonna be political reform?"" It would have been a pretty good bet especially given what was going on Eastern Europe, it would have been a pretty good bet that there was gonna be significant reform In China, the student groups were active just as in many European countries. And this erupts in June 1989 - Hundreds of thousands of people here in Tiananmen Square perhaps as many as a half a million, even more.",1315.1070000000002,1342.85,30.285999999999998,4eUS8trd_yI
38,"In the history of Communist China there has never been anything like this. For the first time in huge numbers the ordinary men and women of Beijing, the old and the young, professors and taxi drivers have joined the student protests, lending their support to what has now taken all the appearances of a peaceful popular uprising against the oppressiveness of communist rule.",1346.24,1367.38,22.016000000000002,4eUS8trd_yI
39,"As the afternoon wears on here, the crowd gets bigger and bigger hoping that this protest will produce results, that the government will respond to the students demand for meaningful dialogue and begin to implement the kind of genuine reforms as opposed to cosmetic reforms that the students want. - So these protests were going on and it soon became clear that the regime was not going tolerate them",1371.27,1397.47,27.552999999999997,4eUS8trd_yI
40,"and tanks started appearing in Tiananmen Square. (crowd chattering) (crowd yelling) So that's not that different from the video we were looking at outside the White House in Russia when Yeltsin climbed the tank, and there was the real expectation among many of the protesters that the Chinese army would not attack its own citizens. And they certainly were appeals going out to that effect,",1400.73,1500.77,34.958000000000006,4eUS8trd_yI
41,"but they turned out that they were wrong. (gunshots blazing) - The noise of gunfire rose from all over the center of Peking. It was unremitting. On the streets leading down to the main road to Tiananmen Square, furious people stared in disbelief at the glow in the sky, listening to the sound of shots. Heading down the road was a hazardous business",1505.28,1530.63,22.134000000000004,4eUS8trd_yI
42,"but hundreds of people cheered as buses were set alight and army trucks caught fire too. (crowd yelling) They yelled and shouted. And then as troop lorries were seen moving down the road, there was gunfire from those lorries. (gunshots blazing) The troops have been firing indiscriminately, but still, there are thousands of people on the streets who will not wield back.",1532.93,1556.91,25.076999999999998,4eUS8trd_yI
43,"The bicycle rickshaws scooped up the injured, others were shunted onto bikes and pedaled to hospital, many were carried away by frantic local residents. There was confusion and despair among those who could hardly credit that their own army was firing wildly at them. Young people was singing the international to a background of gunfire. (crowd singing) After hours of shooting and facing a line of troops,",1558.92,1585.8020000000001,29.671,4eUS8trd_yI
44,"the crowd is still here. They're shouting, ""Stop the killing ""and down with the government."" (gunshots blazing) A huge volley of shots just as I left the front lined cause panic. The young man in front of me fell dead, I fell over him. Two others were killed yards away. Two more people lay wounded on the ground near me.",1590.64,1612.11,23.276,4eUS8trd_yI
45,"In the streets, many came up to us shaking with anger and disbelief and fear. Many were terrified, saying there would be retribution. There was not one voice on the streets which did not express despair and rage. (crowd chattering) ""Tell the world."" They said to us. - So that was the beginning of a massive crackdown,",1615.42,1632.86,20.892999999999997,4eUS8trd_yI
46,"huge numbers of people. We never really got statistics. We believe just a number of people were killed in Tiananmen but it was very large numbers of people were killed. Huge numbers of people were imprisoned after that massive political crackdown. And in sharp contrast, again, this is June of 1989, when the the revolution is all over Eastern Europe, the thaw is going on,",1637.18,1667.52,30.263,4eUS8trd_yI
47,"the Soviet Union is not intervening in the liberalization movements in Eastern Europe and of course, five months later, the wall came down in Germany, but China went a very different path. That the massive political repression of this descent but it did not stop the economic reforms and the economic transformation. And as you can see here, this is just foreign direct investment in China,",1669.05,1700.71,30.643,4eUS8trd_yI
48,"it just throughout the 1990s it increases. The fact that it's decreasing as a share of Chinese GDP tells you how much the domestic economy is developing as well. So that even though as in absolute numbers foreign direct investment is going up by leaps and bounds, it's a declining share of the growing Chinese economy which is becoming a powerhouse. And here you can seethe astonishing growth rates",1703.64,1741.211,35.355000000000004,4eUS8trd_yI
49,"that have been recorded in China since since 1989. You can see by 1991, they were recording already double digit growth rates and they have been the highest growth rates in the world, virtually every year since. If you look at manufacturing in China, and we'll talk more about manufacturing, this is between 2006 and 2016 as modest increases in the US and Japan, just threefold increase in manufacturing in China,",1745.19,1786.11,40.746,4eUS8trd_yI
50,"just absolutely dramatic industrial take off. Comparable story on a smaller scale about Vietnam, transforms itself from an extremely poor country into a very successful middle income economy. I think it's the fifth largest economy in East Asia, but it is second only to China in terms of economic growth. So these huge success stories, and they have been studied to death. There have been armies of scholars trying to understand the reasons for this success.",1792.47,1834.86,39.28099999999999,4eUS8trd_yI
51,"And in the readings I gave you, you get some sense of the variety of explanations that are out there that are trying to account for the dramatic success in China and Vietnam. And most of these explanations suffer from what economists and political scientists refer to as the pathology of selecting on the dependent variable. That is, everybody focuses all of their attention",1838.69,1867.21,31.56,4eUS8trd_yI
52,"on China and Vietnam in trying to look for characteristics that explain the outcome, but of course, that's not how you do social science, we have to think about the independent variable because if you select only on the dependent variable namely in this case, economic success, you may be missing what's really causing it by not seeing other countries",1870.25,1892.9,25.64,4eUS8trd_yI
53,"that have done the same things that have not succeeded. So, for example, Alexander Gerschenkron was famous for the idea that late developers have an advantage, they have an advantage because they don't have to necessarily go through all the stages. This is sort of the opposite of a first mover advantage, which we talked about in tariffs in the EU. So the idea is that late developers",1895.89,1920.45,25.683,4eUS8trd_yI
54,"can skip some of the stages. You look In Africa, you can create a banking system without banks today because people can do banking on their cell phones, right? They don't have to go through all the stages. So these were relatively late developers. Well, they were relatively late developers, but they're plenty of relatively late developers that haven't had this kind of success, all over Africa, or in much of Latin America,",1922.59,1948.9,30.369999999999997,4eUS8trd_yI
55,"elsewhere in East Asia. So the fact of being a late developer alone is obviously not the advantage. They were predominantly rural at the start. So the argument this is in Moleskine London paper, the fact that they didn't have inefficient urban economies to dismantle, they didn't have a big, inefficient economies to dismantle, made it easier that as they urbanized,",1953.07,1988.35,27.772000000000002,4eUS8trd_yI
56,"they urbanized in relatively efficient ways. Again, there are many predominantly agrarian countries that have not been as successful as them. People point to Confucian values. Confucianism, above everything else values order. So they say, ""Oh, well, it's Confucian values."" But of course, there are countries with Confucian values that have not been particularly successful economically. The most obvious and dramatic illustration being North Korea.",1990.97,2027.59,37.565999999999995,4eUS8trd_yI
57,"Confucian values haven't done anything for the North Korean economy. Education, both China and Vietnam have made huge investments in education. They're making bigger investments for example, than we are making in education. A K through 12 education but also technical education, science education. The few things to say about that most of the investments in education",2031.11,2056.52,24.88,4eUS8trd_yI
58,"have come later after the economic take off, but also there're country. Russia is an extremely well educated population, Ethiopia has now got every child in school. They're one of the first African countries to have such high levels of K through 12 education but they have not been replicating this success. There was a less entrenched command communist system, the Moleskine London piece put a lot of credence in this idea",2060.3,2097.9120000000003,31.67,4eUS8trd_yI
59,"that the Soviet economy, for example, was this massively inefficient, but deeply entrenched communist economic system that once they started to dismantle it, the whole economy fell apart. China and Vietnam partly because they were mainly rural economies in the 1970s, didn't have these a big entrenched communist economic command economies",2100.22,2129.473,31.97,4eUS8trd_yI
60,"that had to be dismantled. They involved gradual reform, they did not, and we'll come back to this in more detail in a few minutes, but they did not simply replace the communist system with the capitalist system. In the Soviet Union, there was no choice because the communist system itself just imploded, it just collapsed. It became completely dysfunctional",2132.85,2163.43,28.352999999999998,4eUS8trd_yI
61,"and so they were starting from ground zero. In both China and Vietnam, there was a gradual experimental approach, as I've already mentioned in China in the special economic zones, opening their economies to foreign direct investment which enabled the creation of joint ventures with foreign firms and allowed the economy to grow in particular sectors, not trying to reinvent wholesale a new system.",2166.2,2199.82,34.553000000000004,4eUS8trd_yI
62,"Experimentalism and decentralization. They devolved a lot of power to make decisions about economic performance to regions. Provided that they delivered what was required by the central government, there was much less micromanaging from the center of how the different economic enterprises were run and how local officials met their goals, again, putting less demand on the central leadership to know what to do in every circumstance",2206.55,2242.98,37.56,4eUS8trd_yI
63,"when very often they didn't know what to do. And they knew that they didn't know what to do. Competition within the state sector and between the state sector and the private sector, so they created big state owned enterprises, particularly in China, but they introduce competition among them and they required them to compete in the private sector and they shut down inefficient state companies. It should be said that it's very difficult",2247.25,2281.4,33.053,4eUS8trd_yI
64,"to get a grip on the differences between the state sector and the private sector that means very much in China, partly because the many of the private sector companies get funding from state banks, but also because many of the top leadership of private sector firms are members of the Communist Party, and have to be members of the Communist Party. And so that raises the question",2284.81,2315.72,31.363000000000007,4eUS8trd_yI
65,"while they might be nominally private, but what does it mean in terms of their influence ability by the party. On the other hand, the flip side of that is that it means that the leadership of the Communist Party is hearing a lot about the needs of business all the time, because there are many business people, business leaders are in the Communist Party and making the case for what they need.",2318.39,2342.6820000000002,29.292,4eUS8trd_yI
66,"So the system is relatively competitive for a state sector dominated economy. Export oriented growth model. Again, this is pointed to by many scholars that this export basic producing for foreign markets, manufacturing goods for foreign markets has been extremely successful. There are many other countries in the world, again, that have produced for foreign markets",2348.1,2380.71,32.989999999999995,4eUS8trd_yI
67,"that have not been as successful. Relatively good accountability and the rule of law. So, the system of accountability it's interesting. In China while you can't attack people for political reasons, you can attack officials for being inefficient and corrupt. And that has usually been the path by which people have pushed for accountability and reform. Yuhua Wang in the chapter I put in with the readings from his book, ""Tying the Autocrat's Hands""",2384.21,2424.15,37.916,4eUS8trd_yI
68,"points out that there's been a pretty effective increase in the demand for the rule of law with respect to commercial matters, not political matters, commercial matters, in the sectors of the economy that are dominated by foreign investment. And the reason he gives and I think it's plausible. The reason he gives is that domestic firms",2427.68,2449.94,26.16,4eUS8trd_yI
69,"have access to elites to solve their problems through informal networks, the so called guangxi relationships that they build. Distinguishing guangxi from corruption is often easier said than done, but they have access to informal dispute resolution mechanisms, whereas the foreign firms do not. And so the parts of the economy in which the foreign firms are big",2455.68,2482.86,26.963,4eUS8trd_yI
70,"have been where there's been a lot of demand for the creation of courts to resolve disputes. And Wang who's a very impressive political scientist at Harvard makes the case that it's this demand for the rule of law as a condition for attracting foreign investment that has fed that development. Of course, the subtitle of his book is Tying the Autocrat's Hands something and The Rise of The Rule of Law in China.",2484.66,2515.55,32.073,4eUS8trd_yI
71,"I was recently at a panel with him where he said, ""Maybe we should now be talking about the rise and decline ""of the rule of law in China."" Because, as I said earlier, slide showed you foreign investment is becoming a less important part of the Chinese economy to the extent that the demand for the rule of law is coming from the foreign investment sector, it might be diminishing.",2518.53,2542.01,26.64,4eUS8trd_yI
72,"Leadership. So, leadership. Several people have noticed that if you look at authoritarian systems, that one way to classify them is that those that have managed to renew themselves will find mechanisms of renewal versus those that have not. So, if you think about the Arab monarchies in the Middle East,",2545.17,2572.0,24.026,4eUS8trd_yI
73,"they stagger on until the king dies. Pretty much that's what happens in monarchies or dictatorships in Africa and Latin America, they stagger on until the dictator dies. And even in the Middle East, Assad is followed by his son, you get another Assad. And this is true in some of the communist authoritarian systems like North Korea,",2574.25,2600.9,26.469000000000005,4eUS8trd_yI
74,"Kim Jong-il, Kim Jong-un, again, you have you have aging ossifying leadership's that don't manage to renew themselves and so kind of drag the country into the abyss as they become geriatric, whereas some authoritarian systems seem to have come up with mechanisms to renew themselves. If you said to most people, maybe most people in this room, who are the leaders of Vietnam? Most people would have no idea who they are.",2604.39,2638.65,29.863,4eUS8trd_yI
75,"It's a triumvirate, they do get replaced over time, or you think about Burma. Again, there's no cult or personality. These are countries in which they have renewed themselves. And in China, after Mao, it seemed like they had really figured out a way to avoid the trap of charismatic leaders. Indeed, Bo Xilai had been a member of the Communist Party who was quite charismatic",2641.961,2678.07,30.695,4eUS8trd_yI
76,"and some years ago, was kicked out and thrown in prison and his wife had allegedly been involved in a murder. Many Western scholars interpreted that as he was too charismatic and the Chinese didn't want, they tried charisma, they saw where it went with Mao and they were into this model where people would not be able to be at the helm",2679.46,2700.04,25.580000000000002,4eUS8trd_yI
77,"for more than a decade. And so it seemed like to extent that you need young, vigorous leadership, countries like China and Vietnam had solved this problem which is hard for authoritarian systems to do, because there's no automatic mechanism of renewal and if a charismatic figure comes along, it's very difficult to get them out. So that was another reason people pointed to. So this is, I think,",2705.27,2734.56,29.122999999999998,4eUS8trd_yI
78,"11 reasons you could pull out of those review essays and no doubt people could come up with more. And the truth is, nobody knows, there's no silver bullet here. There is some combinations of these things, there things like luck but these are out there as the main explanations for why these countries have been so successful, right? It then puts on the table the question, well, how sustainable is this success?",2735.51,2767.64,30.779,4eUS8trd_yI
79,"Should we be expecting it to continue going forward? And can we have long-term successful capitalist authoritarianism? This, if you like, is the question put on the table by the success of these countries now over a period of two decades beyond the wildest dreams economically of any observer, and maybe anybody even in those countries along with very repressive political regimes.",2771.71,2801.75,32.83,4eUS8trd_yI
80,"And, so how do think about that. Well, there's some questions to wonder about with respect just to the economies. One is that since 2008, we have seen a resurgence in the growth of the state sectors of these economies. This is partly, as I intimated, at right at the beginning of today's lecture, that now that the Washington Consensus is in bad odor, people are now talking about the Beijing Consensus.",2806.32,2835.56,32.17,4eUS8trd_yI
81,"Until 2008, China made no attempt to export its development model elsewhere, they would kind of back on their heels about the Washington Consensus. That is no longer true. Not only is the state sector in the Chinese economy expanded, they are now training people from many developing countries in economic management pushing a very different model of state-led growth",2838.49,2865.52,31.679999999999993,4eUS8trd_yI
82,"from the model that was being purveyed in the Washington Consensus. And to the extent that the state sector is gonna be less efficient, that raises questions about how sustainable these growth rates are. Because even though relatively efficient, compared to other command economies, they're less efficient than the private sector in those countries and elsewhere.",2871.3,2902.86,30.313,4eUS8trd_yI
83,"Then there's what Steinfeld in that ""Playing Our Game"" book that I put on there calls, the smile curve of profitability, and so, this is the idea which he actually takes from somebody calls Stan Shi. This is the idea that if you look at where the biggest profitability in manufacturing comes from, most of it is either at the R&D phase, research and development upstream,",2905.29,2937.63,31.406000000000002,4eUS8trd_yI
84,"or it's in the manufacturing and marketing downstream. If you think about where's the money made out of an iPhone? It's people who come up with the basic technologies, make a lot of money, and then the people who put it together, do the marketing, make a lot of money. So the solid curve here, what it's telling you is that there's not that much money to be made in the manufacturing, this is just low wage labor",2941.23,2965.49,26.47,4eUS8trd_yI
85,"and these are these people working on assembly lines. That's not the source of great profitability but that has been where most of the economic action has been in these economies. The dotted line is that realizing that the Chinese have started to try and move further up the smiley curve in both directions, so they tried to get more involved in research and development and more involved in marketing and sales.",2967.7,2997.61,31.557000000000002,4eUS8trd_yI
86,"But of course, they do that largely by imitating, sort of creating if you like, generic versions that are copying technologies and then copying marketing methods. And if you do that, that tends to move, it means everybody else can do it too. And so if you like are sawing off the branch you're sitting on,",3003.7,3022.22,21.259999999999998,4eUS8trd_yI
87,and so it's not clear that they're gonna be able to continue to be profitable. Picking winners. Economists always criticize central planning because governments pick winners and governments don't know how to pick winners. They don't know where are gonna be the successful parts of the economy. That is less of a problem in the early stages of industrialization.,3024.96,3053.12,24.955999999999996,4eUS8trd_yI
88,"You know what you have to do, you have to build cities, you have to build roads, you have to build housing, you have to put in electricity, you have to put in water. Once you get into complex economies, it's very much more difficult to know where the successful innovations are gonna be and where they're not gonna be.",3055.23,3071.32,17.45,4eUS8trd_yI
89,"And so the government's might start to make a lot of bets as governments often do when they start to pick winners. So as growth becomes more complex, it becomes less likely that you're gonna have even relatively efficient political leadership's successfully keep picking winners in the economy. Changing leadership and corruption. The story I told about China's leadership",3072.68,3104.36,32.793,4eUS8trd_yI
90,"in the last five years seems to have gone out the window. So now as Donald Trump complains, Xi Jinping might be there for life and Trump is clearly somewhat envious about that idea. (students laughing) But the 10 year term limit has now been abandoned at his request and he is a very charismatic figure, certainly the most powerful Chinese leader since Mao. And so it may well be that the mechanism",3108.44,3143.23,35.225,4eUS8trd_yI
91,"for ensuring leadership renewal is breaking down, or has perhaps even broken down. In Vietnam, they had almost a separation of powers system with different leaders, responsible for different parts of the political and legal system and that also seems to be breaking down or at least under strain from reports that it's possible to get. I already mentioned Yuhua Wang's point",3147.22,3175.26,30.12,4eUS8trd_yI
92,"that to the extent that the rule of law in the economy was dependent on demand from the foreign sector, that might be going away as foreign investment as a proportion of the Chinese economy is actually shrinking. And given the trade wars that we are now in, they might be shrinking a lot further than we talked about before. And so that plus the leadership changes might mean that",3177.58,3201.39,26.980000000000004,4eUS8trd_yI
93,"we're gonna see increases in corruption again, inefficient management, different forms of corruption. Then the next thing and this is gonna now we're gonna start transitioning to talking about politics is that when you create big industrial workforces working on assembly lines, eventually they start to make demands, they start to want higher wages.",3205.4,3231.29,26.213,4eUS8trd_yI
94,"And this is so called flying geese theory of economic development. This is the idea that capital is gonna go to wherever labor is cheapest. And so, if you look here, these are wages in China, Mexico and Vietnam, what you can see is that since the beginning of this century, wages in China have gone up quite dramatically and they're now substantially above wages in Mexico",3234.21,3267.86,32.896,4eUS8trd_yI
95,"and wages in Vietnam, which while they've gone up, have gone up nowhere near as much. And so, if you look at this is called the labor cost index, which basically measures the cost of producing one unit of output. You can see that they are two. The cost of labor has gone up in China quite dramatically during this century and that has meant that the geese are flying out of China,",3272.03,3302.9,29.316000000000006,4eUS8trd_yI
96,"they're flying to places where labor is cheaper. This is the Nike plant in Ho Chi Minh City, which I visited in March of 2001. It was run by a Vietnamese management company, with about 20,000 Vietnamese women working in it there. The whole thing consisted of, it looked like four giant football stadiums. This is about an hour's drive outside of Ho Chi Minh City, which used to be Saigon. It looks like four giant football fields",3306.54,3344.47,38.276,4eUS8trd_yI
